Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/30/2024,42,33,0,0,0
1/31/2024,55,30,0,0,0
2/1/2024,50,28,0,0,0
2/2/2024,41,28,0,0,0
2/3/2024,38,27,0,0,0
2/4/2024,50,24,0,0,0
2/5/2024,49,24,0,0,0
2/6/2024,57,29,0,0,0
2/7/2024,51,39,T,0,0
2/8/2024,53,36,0.23,0,0
2/9/2024,36,26,T,T,0
2/10/2024,33,26,0,0,0
2/11/2024,39,28,0,0,0
2/12/2024,43,28,0,0,0
2/13/2024,35,28,0,0,0
2/14/2024,42,28,0.41,6.9,0
2/15/2024,28,17,0.01,T,7
2/16/2024,18,9,0,0,7
2/17/2024,28,8,0,0,5
2/18/2024,37,22,0,0,5
2/19/2024,40,20,0,0,3
2/20/2024,44,30,0,0,2
2/21/2024,50,25,0,0,T
2/22/2024,52,29,0,0,T
2/23/2024,36,22,T,T,T
2/24/2024,46,17,0,0,0
2/25/2024,51,32,0,0,0
2/26/2024,65,30,0,0,0
2/27/2024,53,13,T,0.1,0
2/28/2024,20,4,0,0,T
2/29/2024,59,13,0,0,T
3/1/2024,59,36,0,0,0
3/2/2024,63,32,0,0,0
3/3/2024,74,40,T,0,0
3/4/2024,40,28,0,0,0
3/5/2024,49,23,0,0,0
3/6/2024,55,30,0,0,0
3/7/2024,47,31,0,0,0
3/8/2024,40,25,0,0,0
3/9/2024,41,21,0,0,0
3/10/2024,51,22,0,0,0
3/11/2024,68,35,0,0,0
3/12/2024,67,43,0,0,0
3/13/2024,64,41,0,0,0
3/14/2024,59,41,0,0,0
3/15/2024,52,33,0,0,0
3/16/2024,51,29,0,0,0
3/17/2024,30,23,T,T,0
3/18/2024,38,22,T,T,0
3/19/2024,52,28,0,0,0
3/20/2024,32,18,0,0,0
3/21/2024,31,24,0.13,1.6,0
3/22/2024,35,24,0.06,1.5,3
3/23/2024,34,18,T,T,T
3/24/2024,33,27,0.72,8.2,T
3/25/2024,37,33,0.78,T,5
3/26/2024,34,20,0.82,3.9,2
3/27/2024,28,18,T,T,5
3/28/2024,38,18,0,0,5
3/29/2024,46,26,0,0,3
3/30/2024,46,34,0,0,2
3/31/2024,48,34,0,0,0
4/1/2024,44,32,T,0,0
4/2/2024,43,33,0.08,T,0
4/3/2024,52,35,T,T,0
4/4/2024,53,34,0,0,0
4/5/2024,58,32,0,0,0
4/6/2024,59,37,0,0,0
4/7/2024,47,40,0.58,0,0
4/8/2024,49,41,0.2,0,0
4/9/2024,61,40,T,0,0
4/10/2024,71,45,0,0,0
4/11/2024,63,45,0.09,0,0
4/12/2024,61,43,0,0,0
4/13/2024,85,40,0,0,0
4/14/2024,71,49,0,0,0
4/15/2024,67,51,0,0,0
4/16/2024,59,46,1.33,0,0
4/17/2024,55,44,0.33,0,0
4/18/2024,52,38,0,0,0
4/19/2024,38,34,T,T,0
4/20/2024,49,31,T,T,0
4/21/2024,61,33,0,0,0
4/22/2024,70,41,T,0,0
4/23/2024,62,41,0.02,0,0
4/24/2024,59,35,0,0,0
4/25/2024,68,45,0,0,0
4/26/2024,54,46,0.06,0,0
4/27/2024,58,50,0.24,0,0
4/28/2024,51,46,0.73,0,0
4/29/2024,51,44,0.12,0,0
4/30/2024,70,43,0.41,0,0
5/1/2024,65,50,0,0,0
5/2/2024,57,49,0.62,0,0
5/3/2024,70,46,0,0,0
5/4/2024,62,47,0.32,0,0
5/5/2024,69,43,0,0,0
5/6/2024,74,51,0,0,0
5/7/2024,72,57,0.35,0,0
5/8/2024,75,49,0,0,0
5/9/2024,68,49,0,0,0
5/10/2024,75,45,0,0,0
5/11/2024,76,48,0,0,0
5/12/2024,88,62,0,0,0
5/13/2024,72,53,0,0,0
5/14/2024,72,49,0,0,0
5/15/2024,73,51,0.16,0,0
5/16/2024,71,57,T,0,0
5/17/2024,85,55,0.35,0,0
5/18/2024,82,60,0.11,0,0
5/19/2024,72,53,0,0,0
5/20/2024,79,58,0.22,0,0
5/21/2024,74,57,2.33,0,0
5/22/2024,72,53,0,0,0
5/23/2024,80,55,0,0,0
5/24/2024,73,50,0.21,0,0
5/25/2024,75,48,T,0,0
5/26/2024,69,53,0.03,0,0
5/27/2024,67,52,0.49,T,0
5/28/2024,68,52,0.12,0,0
5/29/2024,72,50,0,0,0
5/30/2024,79,55,0,0,0
5/31/2024,67,61,0.5,0,0
6/1/2024,77,61,0.02,0,0
6/2/2024,77,58,0.06,0,0
6/3/2024,84,63,0.94,0,0
6/4/2024,86,60,0.46,0,0
6/5/2024,79,57,T,0,0
6/6/2024,71,61,0,0,0
6/7/2024,78,58,0,0,0
6/8/2024,77,58,0.04,0,0
6/9/2024,72,57,0,0,0
6/10/2024,76,52,0,0,0
6/11/2024,84,58,0.04,0,0
6/12/2024,81,63,0.46,0,0
6/13/2024,84,64,0,0,0
6/14/2024,81,60,0,0,0
6/15/2024,70,63,0.94,0,0
6/16/2024,89,64,0.63,0,0
6/17/2024,74,57,0.69,0,0
6/18/2024,86,66,0.35,0,0
6/19/2024,74,61,T,0,0
6/20/2024,66,61,0.02,0,0
6/21/2024,71,64,0.62,0,0
6/22/2024,76,57,0.87,0,0
6/23/2024,85,55,0,0,0
6/24/2024,86,65,0,0,0
6/25/2024,85,71,0,0,0
6/26/2024,81,64,0,0,0
6/27/2024,76,60,0.03,0,0
6/28/2024,79,65,1.1,0,0
6/29/2024,72,60,0,0,0
6/30/2024,74,53,0,0,0
7/1/2024,76,59,0.01,0,0
7/2/2024,73,59,0.31,0,0
7/3/2024,86,64,0,0,0
7/4/2024,72,63,0.66,0,0
7/5/2024,79,62,T,0,0
7/6/2024,82,61,0.02,0,0
7/7/2024,82,64,T,0,0
7/8/2024,82,68,0.06,0,0
7/9/2024,85,67,0.68,0,0
7/10/2024,81,68,0.18,0,0
7/11/2024,86,66,0,0,0
7/12/2024,87,72,0,0,0
7/13/2024,81,69,0.43,0,0
7/14/2024,90,66,0.25,0,0
7/15/2024,86,71,0.12,0,0
7/16/2024,82,64,0,0,0
7/17/2024,75,62,0,0,0
7/18/2024,79,60,0,0,0
7/19/2024,81,64,0,0,0
7/20/2024,84,70,T,0,0
7/21/2024,79,66,0.74,0,0
7/22/2024,84,65,0.53,0,0
7/23/2024,75,66,0,0,0
7/24/2024,77,63,0,0,0
7/25/2024,81,62,0,0,0
7/26/2024,85,66,0,0,0
7/27/2024,91,71,0,0,0
7/28/2024,90,70,0.36,0,0
7/29/2024,88,70,T,0,0
7/30/2024,90,72,0,0,0
7/31/2024,90,67,1.26,0,0
8/1/2024,76,66,0.51,0,0
8/2/2024,91,66,0,0,0
8/3/2024,85,65,0.18,0,0
8/4/2024,84,70,0,0,0
8/5/2024,73,60,1.4,0,0
8/6/2024,78,56,0,0,0
8/7/2024,77,60,T,0,0
8/8/2024,72,59,T,0,0
8/9/2024,70,57,0,0,0
8/10/2024,74,53,0,0,0
8/11/2024,79,56,0,0,0
8/12/2024,81,57,0,0,0
8/13/2024,82,60,0,0,0
8/14/2024,82,64,T,0,0
8/15/2024,80,65,0.74,0,0
8/16/2024,79,66,0.2,0,0
8/17/2024,78,68,0.07,0,0
8/18/2024,83,64,0,0,0
8/19/2024,81,62,0,0,0
8/20/2024,76,63,0,0,0
8/21/2024,78,61,0,0,0
8/22/2024,73,60,0.14,0,0
8/23/2024,81,64,0.01,0,0
8/24/2024,85,65,0,0,0
8/25/2024,87,73,0,0,0
8/26/2024,92,70,0.74,0,0
8/27/2024,79,67,1.01,0,0
8/28/2024,76,64,T,0,0
8/29/2024,89,66,0.37,0,0
8/30/2024,79,61,0,0,0
8/31/2024,85,61,0,0,0
9/1/2024,74,59,0,0,0
9/2/2024,75,56,0,0,0
9/3/2024,78,58,0,0,0
9/4/2024,82,60,0,0,0
9/5/2024,77,60,0.01,0,0
9/6/2024,70,53,0,0,0
9/7/2024,70,48,0,0,0
9/8/2024,78,55,0,0,0
9/9/2024,82,59,0,0,0
9/10/2024,83,62,T,0,0
9/11/2024,85,65,0,0,0
9/12/2024,86,61,0,0,0
9/13/2024,83,64,0,0,0
9/14/2024,76,69,0.02,0,0
9/15/2024,88,68,0,0,0
9/16/2024,89,69,0,0,0
9/17/2024,88,71,0,0,0
9/18/2024,86,69,0,0,0
9/19/2024,86,69,0.03,0,0
9/20/2024,82,62,0,0,0
9/21/2024,84,60,T,0,0
9/22/2024,70,52,0,0,0
9/23/2024,71,50,0,0,0
9/24/2024,76,54,T,0,0
9/25/2024,80,55,0,0,0
9/26/2024,84,59,0,0,0
9/27/2024,85,58,0,0,0
9/28/2024,87,58,0,0,0
9/29/2024,84,58,0,0,0
9/30/2024,85,57,0,0,0
10/1/2024,66,48,0,0,0
10/2/2024,80,49,0,0,0
10/3/2024,65,50,0,0,0
10/4/2024,69,44,0,0,0
10/5/2024,79,50,0,0,0
10/6/2024,65,47,0,0,0
10/7/2024,70,44,0,0,0
10/8/2024,73,46,0,0,0
10/9/2024,72,49,0,0,0
10/10/2024,80,50,0,0,0
10/11/2024,74,51,0,0,0
10/12/2024,62,47,T,0,0
10/13/2024,55,44,T,0,0
10/14/2024,51,35,0,0,0
10/15/2024,55,35,0,0,0
10/16/2024,61,34,0,0,0
10/17/2024,71,45,0,0,0
10/18/2024,74,50,T,0,0
10/19/2024,69,59,0,0,0
10/20/2024,81,54,0,0,0
10/21/2024,85,64,0,0,0
10/22/2024,74,50,T,0,0
10/23/2024,56,45,T,0,0
10/24/2024,65,48,0.48,0,0
10/25/2024,58,41,0,0,0
10/26/2024,59,37,0,0,0
10/27/2024,66,42,0,0,0
10/28/2024,75,51,0,0,0
10/29/2024,80,59,0,0,0
10/30/2024,76,47,T,0,0
10/31/2024,47,33,1.26,0.2,0
11/1/2024,45,31,0,0,0
11/2/2024,56,39,0,0,0
11/3/2024,49,46,0.03,0,0
11/4/2024,60,49,0.18,0,0
11/5/2024,49,39,0.29,0,0
11/6/2024,50,33,0,0,0
11/7/2024,50,37,0,0,0
11/8/2024,58,38,0,0,0
11/9/2024,54,39,0.08,0,0
11/10/2024,51,47,0.09,0,0
11/11/2024,49,34,0,0,0
11/12/2024,47,31,0,0,0
11/13/2024,45,37,0.09,0,0
11/14/2024,47,42,0,0,0
11/15/2024,54,35,0,0,0
11/16/2024,54,41,0,0,0
11/17/2024,52,39,0,0,0
11/18/2024,52,35,0.86,0,0
11/19/2024,55,41,0.29,0,0
11/20/2024,41,27,0.03,0.8,0
11/21/2024,40,29,T,T,T
11/22/2024,37,32,T,0,0
11/23/2024,41,33,0,0,0
11/24/2024,42,36,0,0,0
11/25/2024,38,19,T,T,0
