,year,week,ice_in_date,max_temp,min_temp,daily_avg,precipitation,snow,snow_depth,low_freezing,high_freezing,avg_freezing
0,1970,12,,38.57142857142857,20.714285714285715,29.642857142857142,0.06571428571428571,0.7142857142857143,4.0,7.0,0.0,4.0
1,1970,15,,54.42857142857143,34.0,44.214285714285715,0.02428571428571429,0.0,0.0,2.0,0.0,0.0
2,1970,23,,79.0,55.42857142857143,67.21428571428571,0.0,0.0,0.0,0.0,0.0,0.0
3,1970,28,,89.0,64.42857142857143,76.71428571428571,0.03142857142857143,0.0,0.0,0.0,0.0,0.0
4,1970,29,,85.71428571428571,64.85714285714286,75.28571428571429,0.19571428571428573,0.0,0.0,0.0,0.0,0.0
5,1970,52,,22.285714285714285,3.2857142857142856,12.785714285714286,0.02,0.3428571428571429,3.0,7.0,6.0,7.0
6,1971,2,,12.0,-1.7142857142857142,5.142857142857143,0.03571428571428571,0.8285714285714285,9.0,7.0,7.0,7.0
7,1971,9,,28.142857142857142,12.571428571428571,20.357142857142858,0.0014285714285714286,0.028571428571428574,6.0,7.0,5.0,7.0
8,1971,12,,34.57142857142857,21.428571428571427,28.0,0.022857142857142857,0.0,2.0,6.0,3.0,4.0
9,1971,13,,44.142857142857146,24.142857142857142,34.142857142857146,0.027142857142857142,0.2714285714285714,0.2857142857142857,6.0,1.0,2.0
10,1971,14,,62.57142857142857,34.142857142857146,48.357142857142854,0.004285714285714286,0.0,0.0,2.0,0.0,0.0
11,1971,33,,87.0,63.142857142857146,75.07142857142857,0.054285714285714284,0.0,0.0,0.0,0.0,0.0
12,1971,36,,78.57142857142857,58.714285714285715,68.64285714285714,0.055714285714285716,0.0,0.0,0.0,0.0,0.0
13,1971,39,,72.85714285714286,53.57142857142857,63.214285714285715,0.24571428571428575,0.0,0.0,0.0,0.0,0.0
14,1971,44,,37.142857142857146,24.571428571428573,30.857142857142858,0.04857142857142858,0.0,0.0,7.0,2.0,3.0
15,1971,45,,50.42857142857143,30.0,40.214285714285715,0.0,0.0,0.0,4.0,0.0,1.0
16,1972,20,,84.42857142857143,56.285714285714285,70.35714285714286,0.0,0.0,0.0,0.0,0.0,0.0
17,1972,21,,82.14285714285714,61.142857142857146,71.64285714285714,0.1385714285714286,0.0,0.0,0.0,0.0,0.0
18,1972,32,,75.57142857142857,54.57142857142857,65.07142857142857,0.04285714285714286,0.0,0.0,0.0,0.0,0.0
19,1972,40,,63.0,42.857142857142854,52.92857142857143,0.04,0.0,0.0,0.0,0.0,0.0
20,1972,46,,33.857142857142854,25.0,29.428571428571427,0.0,0.0,0.0,7.0,1.0,5.0
21,1972,50,,12.0,-6.571428571428571,2.7142857142857144,0.012857142857142857,0.32857142857142857,4.0,7.0,7.0,7.0
22,1973,1,,11.75,-7.375,2.1875,0.07625,0.8625,5.875,8.0,6.0,8.0
23,1973,12,,51.285714285714285,33.0,42.142857142857146,0.021428571428571432,0.0,0.0,3.0,0.0,0.0
24,1973,19,,62.57142857142857,43.714285714285715,53.142857142857146,0.04,0.0,0.0,0.0,0.0,0.0
25,1973,20,,70.14285714285714,42.42857142857143,56.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
26,1973,25,,76.57142857142857,55.857142857142854,66.21428571428571,0.07714285714285715,0.0,0.0,0.0,0.0,0.0
27,1973,27,,88.0,65.14285714285714,76.57142857142857,0.027142857142857142,0.0,0.0,0.0,0.0,0.0
28,1973,38,,63.0,40.57142857142857,51.785714285714285,0.058571428571428566,0.0,0.0,0.0,0.0,0.0
29,1973,39,,67.57142857142857,53.0,60.285714285714285,0.18,0.0,0.0,0.0,0.0,0.0
30,1973,40,,66.0,47.0,56.5,0.004285714285714286,0.0,0.0,0.0,0.0,0.0
31,1973,43,,61.857142857142854,43.285714285714285,52.57142857142857,0.027142857142857142,0.0,0.0,0.0,0.0,0.0
32,1973,48,,39.0,25.285714285714285,32.142857142857146,0.008571428571428572,0.014285714285714287,0.0,5.0,0.0,3.0
33,1974,10,,45.285714285714285,27.714285714285715,36.5,0.002857142857142857,0.0,1.0,6.0,0.0,0.0
34,1974,14,,43.285714285714285,29.571428571428573,36.42857142857143,0.15,1.042857142857143,2.142857142857143,5.0,0.0,0.0
35,1974,15,,53.42857142857143,35.714285714285715,44.57142857142857,0.13571428571428573,0.0,0.0,2.0,0.0,0.0
36,1974,19,,54.857142857142854,38.714285714285715,46.785714285714285,0.15142857142857144,0.0,0.0,1.0,0.0,0.0
37,1974,20,,61.714285714285715,44.57142857142857,53.142857142857146,0.060000000000000005,0.0,0.0,0.0,0.0,0.0
38,1974,32,,78.57142857142857,60.285714285714285,69.42857142857143,0.042857142857142864,0.0,0.0,0.0,0.0,0.0
39,1974,33,,80.57142857142857,60.0,70.28571428571429,0.019999999999999997,0.0,0.0,0.0,0.0,0.0
40,1974,34,,81.0,59.142857142857146,70.07142857142857,0.03428571428571429,0.0,0.0,0.0,0.0,0.0
41,1974,39,,68.71428571428571,42.142857142857146,55.42857142857143,0.004285714285714286,0.0,0.0,1.0,0.0,0.0
42,1974,43,,64.42857142857143,37.857142857142854,51.142857142857146,0.0,0.0,0.0,1.0,0.0,0.0
43,1974,51,,26.428571428571427,17.0,21.714285714285715,0.028571428571428574,0.5142857142857143,2.0,7.0,5.0,7.0
44,1975,6,,15.857142857142858,0.7142857142857143,8.285714285714286,0.037142857142857144,0.4142857142857143,16.0,7.0,7.0,7.0
45,1975,20,,72.28571428571429,47.57142857142857,59.92857142857143,0.004285714285714286,0.0,0.0,0.0,0.0,0.0
46,1975,29,,90.71428571428571,68.14285714285714,79.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0
47,1975,31,,92.71428571428571,69.42857142857143,81.07142857142857,0.3185714285714285,0.0,0.0,0.0,0.0,0.0
48,1978,6,1978-12-02,22.285714285714285,-0.14285714285714285,11.071428571428571,0.002857142857142857,0.05714285714285715,7.571428571428571,7.0,7.0,7.0
49,1978,16,1978-12-02,51.57142857142857,35.285714285714285,43.42857142857143,0.1757142857142857,0.1285714285714286,0.0,1.0,0.0,0.0
50,1978,18,1978-12-02,64.28571428571429,39.857142857142854,52.07142857142857,0.08857142857142856,0.0,0.0,1.0,0.0,0.0
51,1978,24,1978-12-02,77.42857142857143,58.857142857142854,68.14285714285714,0.19142857142857145,0.0,0.0,0.0,0.0,0.0
52,1978,30,1978-12-02,81.0,61.142857142857146,71.07142857142857,0.002857142857142857,0.0,0.0,0.0,0.0,0.0
53,1978,46,1978-12-02,35.42857142857143,22.714285714285715,29.071428571428573,0.12999999999999998,1.285714285714286,2.2857142857142856,6.0,2.0,4.0
54,1979,8,1979-12-13,32.0,9.571428571428571,20.785714285714285,0.13285714285714287,0.8142857142857143,21.857142857142858,7.0,3.0,7.0
55,1979,31,1979-12-13,85.57142857142857,65.71428571428571,75.64285714285714,0.15714285714285717,0.0,0.0,0.0,0.0,0.0
56,1979,32,1979-12-13,81.28571428571429,62.714285714285715,72.0,0.22571428571428573,0.0,0.0,0.0,0.0,0.0
57,1979,33,1979-12-13,73.28571428571429,56.857142857142854,65.07142857142857,0.002857142857142857,0.0,0.0,0.0,0.0,0.0
58,1979,34,1979-12-13,72.71428571428571,60.57142857142857,66.64285714285714,0.5171428571428572,0.0,0.0,0.0,0.0,0.0
59,1979,39,1979-12-13,77.14285714285714,51.142857142857146,64.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0
60,1979,40,1979-12-13,58.142857142857146,37.0,47.57142857142857,0.07857142857142858,0.0,0.0,1.0,0.0,0.0
61,1979,45,1979-12-13,33.714285714285715,20.571428571428573,27.142857142857142,0.03142857142857143,0.3,0.5714285714285714,7.0,3.0,6.0
62,1979,50,1979-12-13,31.857142857142858,7.857142857142857,19.857142857142858,0.0,0.014285714285714287,0.0,7.0,3.0,6.0
63,1980,12,1980-12-09,40.0,26.285714285714285,33.142857142857146,0.03428571428571429,0.5999999999999999,0.8571428571428571,6.0,1.0,4.0
64,1980,18,1980-12-09,79.14285714285714,46.714285714285715,62.92857142857143,0.0,0.0,0.0,0.0,0.0,0.0
65,1980,30,1980-12-09,82.42857142857143,59.285714285714285,70.85714285714286,0.09428571428571428,0.0,0.0,0.0,0.0,0.0
66,1980,35,1980-12-09,76.28571428571429,60.57142857142857,68.42857142857143,0.1557142857142857,0.0,0.0,0.0,0.0,0.0
67,1980,37,1980-12-09,71.0,54.714285714285715,62.857142857142854,0.2357142857142857,0.0,0.0,0.0,0.0,0.0
68,1981,2,1981-12-15,15.571428571428571,-3.857142857142857,5.857142857142857,0.014285714285714285,0.15714285714285717,0.8571428571428571,7.0,7.0,7.0
69,1975,33,,80.85714285714286,61.285714285714285,71.07142857142857,0.018571428571428572,0.0,0.0,0.0,0.0,0.0
70,1975,34,,81.14285714285714,64.28571428571429,72.71428571428571,0.24714285714285714,0.0,0.0,0.0,0.0,0.0
71,1975,39,,66.71428571428571,41.0,53.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0
72,1976,1,,17.75,1.75,9.75,0.0775,1.0499999999999998,5.5,4.0,2.0,4.0
73,1976,6,,20.285714285714285,0.14285714285714285,10.214285714285714,0.027142857142857142,0.5142857142857143,9.0,7.0,5.0,7.0
74,1976,10,,25.571428571428573,10.428571428571429,18.0,0.16142857142857145,1.6142857142857143,5.285714285714286,7.0,7.0,7.0
75,1976,12,,44.142857142857146,22.428571428571427,33.285714285714285,0.005714285714285714,0.04285714285714286,1.0,5.0,2.0,4.0
76,1976,15,,63.285714285714285,35.714285714285715,49.5,0.0014285714285714286,0.0,0.0,1.0,0.0,0.0
77,1976,27,,81.28571428571429,57.0,69.14285714285714,0.07571428571428572,0.0,0.0,0.0,0.0,0.0
78,1976,30,,89.28571428571429,66.57142857142857,77.92857142857143,0.17285714285714285,0.0,0.0,0.0,0.0,0.0
79,1976,31,,85.14285714285714,64.0,74.57142857142857,0.16142857142857145,0.0,0.0,0.0,0.0,0.0
80,1976,50,,22.428571428571427,-3.857142857142857,9.285714285714286,0.008571428571428572,0.14285714285714285,4.0,7.0,7.0,7.0
81,1977,10,,48.142857142857146,33.42857142857143,40.785714285714285,0.09142857142857143,0.0,2.857142857142857,3.0,0.0,1.0
82,1977,17,,71.71428571428571,41.42857142857143,56.57142857142857,0.005714285714285714,0.0,0.0,0.0,0.0,0.0
83,1977,23,,74.57142857142857,55.714285714285715,65.14285714285714,0.01,0.0,0.0,0.0,0.0,0.0
84,1977,32,,76.85714285714286,55.714285714285715,66.28571428571429,0.03428571428571429,0.0,0.0,0.0,0.0,0.0
85,1977,35,,75.14285714285714,56.57142857142857,65.85714285714286,1.1842857142857142,0.0,0.0,0.0,0.0,0.0
86,1977,39,,62.42857142857143,44.42857142857143,53.42857142857143,0.09142857142857143,0.0,0.0,0.0,0.0,0.0
87,1977,46,,42.42857142857143,27.285714285714285,34.857142857142854,0.06142857142857143,0.07142857142857142,0.0,6.0,0.0,1.0
88,1977,49,,8.285714285714286,-11.0,-1.3571428571428572,0.024285714285714282,0.5714285714285714,7.285714285714286,7.0,7.0,7.0
89,1981,14,1981-12-15,55.0,35.0,45.0,0.08142857142857143,0.24285714285714285,0.2857142857142857,2.0,0.0,0.0
90,1981,19,1981-12-15,60.42857142857143,41.42857142857143,50.92857142857143,0.05285714285714286,0.0,0.0,1.0,0.0,0.0
91,1981,22,1981-12-15,69.42857142857143,52.714285714285715,61.07142857142857,0.05285714285714286,0.0,0.0,0.0,0.0,0.0
92,1981,30,1981-12-15,75.42857142857143,60.857142857142854,68.14285714285714,0.11571428571428573,0.0,0.0,0.0,0.0,0.0
93,1981,33,1981-12-15,79.28571428571429,60.142857142857146,69.71428571428571,0.15285714285714286,0.0,0.0,0.0,0.0,0.0
94,1981,47,1981-12-15,37.714285714285715,21.857142857142858,29.785714285714285,0.24285714285714285,1.5,4.857142857142857,5.0,3.0,4.0
95,1981,53,1981-12-15,19.5,-5.5,7.0,0.05500000000000001,0.8,6.5,4.0,4.0,4.0
96,1982,14,1982-12-11,35.857142857142854,22.0,28.928571428571427,0.017142857142857144,0.18571428571428572,0.0,7.0,2.0,5.0
97,1982,35,1982-12-11,76.28571428571429,56.714285714285715,66.5,0.19714285714285715,0.0,0.0,0.0,0.0,0.0
98,1982,37,1982-12-11,62.0,49.0,55.5,0.06142857142857143,0.0,0.0,0.0,0.0,0.0
99,1982,38,1982-12-11,65.0,43.285714285714285,54.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0
100,1982,43,1982-12-11,57.42857142857143,41.142857142857146,49.285714285714285,0.037142857142857144,0.0,0.0,0.0,0.0,0.0
101,1983,52,1983-12-02,16.625,2.625,9.625,0.01,0.1875,15.75,8.0,8.0,8.0
102,1983,7,1983-12-02,39.0,32.0,35.5,0.004285714285714286,0.028571428571428574,10.428571428571429,2.0,0.0,1.0
103,1983,13,1983-12-02,42.714285714285715,31.857142857142858,37.285714285714285,0.10714285714285714,0.04285714285714286,0.8571428571428571,2.0,0.0,2.0
104,1983,15,1983-12-02,42.285714285714285,29.142857142857142,35.714285714285715,0.37714285714285717,2.0142857142857142,3.5714285714285716,4.0,0.0,1.0
105,1983,21,1983-12-02,67.71428571428571,46.42857142857143,57.07142857142857,0.06285714285714286,0.0,0.0,0.0,0.0,0.0
106,1983,29,1983-12-02,88.28571428571429,69.85714285714286,79.07142857142857,0.05714285714285715,0.0,0.0,0.0,0.0,0.0
107,1983,34,1983-12-02,86.0,68.0,77.0,0.17714285714285719,0.0,0.0,0.0,0.0,0.0
108,1983,46,1983-12-02,43.0,33.285714285714285,38.142857142857146,0.19142857142857145,0.0,0.0,2.0,0.0,0.0
109,1983,48,1983-12-02,21.857142857142858,7.714285714285714,14.785714285714286,0.10285714285714286,1.3142857142857145,13.428571428571429,7.0,7.0,7.0
110,1983,49,1983-12-02,19.714285714285715,6.428571428571429,13.071428571428571,0.027142857142857142,0.31428571428571433,10.285714285714286,7.0,7.0,7.0
111,1983,51,1983-12-02,-5.285714285714286,-21.0,-13.142857142857142,0.038571428571428576,0.5857142857142856,19.571428571428573,7.0,7.0,7.0
112,1984,7,1984-12-06,38.42857142857143,32.57142857142857,35.5,0.10714285714285716,0.6428571428571429,7.142857142857143,2.0,0.0,1.0
113,1984,26,1984-12-06,82.28571428571429,59.57142857142857,70.92857142857143,0.0,0.0,0.0,0.0,0.0,0.0
