Season,WeekNum,Week,Game_ID,Away,Home,Kickoff_UTC,NeutralSite,Provider,Spread_Home,Spread_Detail,Over_Under,Away_ML,Home_ML,Away_Win_Prob,Home_Win_Prob,Open_Spread_Home,Open_Away_ML,Open_Home_ML,ESPN_Home_Win_Prob,ESPN_Matchup_Quality,Fetched_At_UTC
2026,18,Week 18,401873184,San Francisco 49ers,Arizona Cardinals,2027-01-10T05:00Z,False,DraftKings,8.5,SF -8.5,44.5,-410,320,0.771505376344086,0.22849462365591394,8.5,-395.0,310.0,28.561999999999998,41.108,2026-09-08T14:11:09Z
2026,18,Week 18,401873183,Pittsburgh Steelers,Baltimore Ravens,2027-01-10T05:00Z,False,DraftKings,-5.5,BAL -5.5,43.5,190,-230,0.33099297893681046,0.6690070210631895,-5.5,200.0,-245.0,64.63600000000001,64.2,2026-09-08T14:11:09Z
2026,18,Week 18,401873181,New York Jets,Buffalo Bills,2027-01-10T05:00Z,False,DraftKings,-10.0,BUF -10,43.5,360,-470,0.20863836017569545,0.7913616398243045,-9.5,360.0,-470.0,81.147,49.042,2026-09-08T14:11:09Z
2026,18,Week 18,401873172,Atlanta Falcons,Carolina Panthers,2027-01-10T05:00Z,False,DraftKings,-2.5,CAR -2.5,41.5,114,-135,0.448558885283451,0.551441114716549,-2.5,114.0,-135.0,49.821,25.596,2026-09-08T14:11:09Z
2026,18,Week 18,401873174,Cleveland Browns,Cincinnati Bengals,2027-01-10T05:00Z,False,DraftKings,-7.5,CIN -7.5,43.5,285,-360,0.2491874322860238,0.7508125677139762,-7.5,280.0,-355.0,75.72,38.225,2026-09-08T14:11:09Z
2026,18,Week 18,401873179,Los Angeles Chargers,Denver Broncos,2027-01-10T05:00Z,False,DraftKings,-1.5,DEN -1.5,41.5,102,-122,0.4739134147382802,0.5260865852617197,-1.5,-102.0,-118.0,50.146,72.866,2026-09-08T14:11:09Z
2026,18,Week 18,401873176,Detroit Lions,Green Bay Packers,2027-01-10T05:00Z,False,DraftKings,-2.5,GB -2.5,47.5,114,-135,0.448558885283451,0.551441114716549,-2.5,120.0,-142.0,54.761,77.123,2026-09-08T14:11:09Z
2026,18,Week 18,401873187,Tennessee Titans,Houston Texans,2027-01-10T05:00Z,False,DraftKings,-7.0,HOU -7,39.5,240,-298,0.2820294784580499,0.7179705215419501,-7.0,250.0,-310.0,70.3,41.963,2026-09-08T14:11:09Z
2026,18,Week 18,401873177,Jacksonville Jaguars,Indianapolis Colts,2027-01-10T05:00Z,False,DraftKings,-1.5,IND -1.5,46.5,105,-125,0.4675324675324675,0.5324675324675325,-1.5,-105.0,-115.0,49.764,55.231,2026-09-08T14:11:09Z
2026,18,Week 18,401873178,Las Vegas Raiders,Kansas City Chiefs,2027-01-10T05:00Z,False,DraftKings,-8.5,KC -8.5,40.5,310,-395,0.23409789548356585,0.7659021045164341,-8.5,330.0,-425.0,77.122,42.512,2026-09-08T14:11:09Z
2026,18,Week 18,401873185,Seattle Seahawks,Los Angeles Rams,2027-01-10T05:00Z,False,DraftKings,-3.0,LAR -3,44.5,130,-155,0.4170073589533933,0.5829926410466066,-2.5,120.0,-142.0,62.358000000000004,90.844,2026-09-08T14:11:09Z
2026,18,Week 18,401873173,Chicago Bears,Minnesota Vikings,2027-01-10T05:00Z,False,DraftKings,-1.5,MIN -1.5,43.5,102,-122,0.4739134147382802,0.5260865852617197,-1.5,-105.0,-115.0,48.827999999999996,54.417,2026-09-08T14:11:09Z
2026,18,Week 18,401873180,Miami Dolphins,New England Patriots,2027-01-10T05:00Z,False,DraftKings,-10.5,NE -10.5,42.5,425,-575,0.18274111675126903,0.817258883248731,-10.5,380.0,-500.0,78.609,34.606,2026-09-08T14:11:09Z
2026,18,Week 18,401873186,Tampa Bay Buccaneers,New Orleans Saints,2027-01-10T05:00Z,False,DraftKings,1.5,TB -1.5,43.5,-122,102,0.5260865852617197,0.4739134147382802,1.5,-120.0,100.0,47.205999999999996,35.111,2026-09-08T14:11:09Z
2026,18,Week 18,401873182,Philadelphia Eagles,New York Giants,2027-01-10T05:00Z,False,DraftKings,3.0,PHI -3,41.5,-155,130,0.5829926410466066,0.4170073589533933,3.0,-155.0,130.0,41.709,53.217,2026-09-08T14:11:09Z
2026,18,Week 18,401873175,Dallas Cowboys,Washington Commanders,2027-01-10T05:00Z,False,DraftKings,1.5,DAL -1.5,49.5,-122,102,0.5260865852617197,0.4739134147382802,1.5,-120.0,100.0,44.259,51.816,2026-09-08T14:11:09Z
