Season,WeekNum,Week,Game_ID,Away,Home,Kickoff_UTC,NeutralSite,Provider,Spread_Home,Spread_Detail,Over_Under,Away_ML,Home_ML,Away_Win_Prob,Home_Win_Prob,Open_Spread_Home,Open_Away_ML,Open_Home_ML,ESPN_Home_Win_Prob,ESPN_Matchup_Quality,Fetched_At_UTC
2026,10,Week 10,401873052,Washington Commanders,New York Giants,2026-11-13T01:15Z,False,DraftKings,-1.5,NYG -1.5,47.5,105,-125,0.4675324675324675,0.5324675324675325,-1.5,105.0,-125.0,53.535999999999994,34.883,2026-09-08T17:14:53Z
2026,10,Week 10,401873053,New England Patriots,Detroit Lions,2026-11-15T14:30Z,True,DraftKings,-1.5,DET -1.5,48.5,105,-125,0.4675324675324675,0.5324675324675325,-1.5,105.0,-125.0,54.459999999999994,72.051,2026-09-08T17:14:53Z
2026,10,Week 10,401873058,Kansas City Chiefs,Atlanta Falcons,2026-11-15T18:00Z,False,DraftKings,4.5,KC -4.5,45.5,-225,185,0.6636481241914618,0.33635187580853815,4.5,-225.0,185.0,40.343,51.783,2026-09-08T17:14:53Z
2026,10,Week 10,401873056,Houston Texans,Cleveland Browns,2026-11-15T18:00Z,False,DraftKings,4.5,HOU -4.5,38.5,-205,170,0.644729178800233,0.35527082119976705,4.5,-218.0,180.0,31.727,34.522,2026-09-08T17:14:53Z
2026,10,Week 10,401873060,Minnesota Vikings,Green Bay Packers,2026-11-15T18:00Z,False,DraftKings,-4.5,GB -4.5,45.5,200,-245,0.3194444444444444,0.6805555555555556,-4.5,185.0,-225.0,64.621,61.812,2026-09-08T17:14:53Z
2026,10,Week 10,401873059,Miami Dolphins,Indianapolis Colts,2026-11-15T18:00Z,False,DraftKings,-6.5,IND -6.5,47.5,250,-310,0.27424749163879597,0.725752508361204,-6.5,235.0,-290.0,74.57000000000001,24.276,2026-09-08T17:14:53Z
2026,10,Week 10,401873055,Carolina Panthers,New Orleans Saints,2026-11-15T18:00Z,False,DraftKings,-1.5,NO -1.5,43.5,-102,-118,0.4826358742837298,0.5173641257162701,-1.5,105.0,-125.0,56.385,20.751,2026-09-08T17:14:53Z
2026,10,Week 10,401873054,Buffalo Bills,New York Jets,2026-11-15T18:00Z,False,DraftKings,7.0,BUF -7,46.5,-340,270,0.740871613663133,0.2591283863368669,7.0,-340.0,270.0,25.621,47.862,2026-09-08T17:14:53Z
2026,10,Week 10,401873057,Jacksonville Jaguars,Tennessee Titans,2026-11-15T18:00Z,False,DraftKings,2.5,JAX -2.5,45.5,-135,114,0.551441114716549,0.448558885283451,2.5,-135.0,114.0,38.854,37.827,2026-09-08T17:14:53Z
2026,10,Week 10,401873061,Los Angeles Rams,Arizona Cardinals,2026-11-15T21:05Z,False,DraftKings,10.5,LAR -10.5,47.5,-470,360,0.7913616398243045,0.20863836017569545,10.5,-535.0,400.0,19.951,50.828,2026-09-08T17:14:53Z
2026,10,Week 10,401873062,Seattle Seahawks,Las Vegas Raiders,2026-11-15T21:05Z,False,DraftKings,7.0,SEA -7,43.5,-310,250,0.725752508361204,0.27424749163879597,7.0,-340.0,270.0,27.761000000000003,47.212,2026-09-08T17:14:53Z
2026,10,Week 10,401873063,San Francisco 49ers,Dallas Cowboys,2026-11-15T21:25Z,False,DraftKings,-1.5,DAL -1.5,52.5,-102,-118,0.4826358742837298,0.5173641257162701,-1.5,100.0,-120.0,51.427,74.771,2026-09-08T17:14:53Z
2026,10,Week 10,401873064,Pittsburgh Steelers,Cincinnati Bengals,2026-11-16T01:20Z,False,DraftKings,-3.5,CIN -3.5,47.5,160,-192,0.3690596562184025,0.6309403437815976,-3.5,160.0,-192.0,60.153999999999996,58.717,2026-09-08T17:14:53Z
2026,10,Week 10,401873065,Los Angeles Chargers,Baltimore Ravens,2026-11-17T01:15Z,False,DraftKings,-3.5,BAL -3.5,47.5,150,-180,0.3835616438356164,0.6164383561643836,-2.5,120.0,-142.0,56.766000000000005,81.769,2026-09-08T17:14:53Z
