Season,WeekNum,Week,Game_ID,Away,Home,Kickoff_UTC,NeutralSite,Provider,Spread_Home,Spread_Detail,Over_Under,Away_ML,Home_ML,Away_Win_Prob,Home_Win_Prob,Open_Spread_Home,Open_Away_ML,Open_Home_ML,ESPN_Home_Win_Prob,ESPN_Matchup_Quality,Fetched_At_UTC
2026,8,Week 8,401873023,Carolina Panthers,Green Bay Packers,2026-10-30T00:15Z,False,DraftKings,-7.0,GB -7,45.5,275,-345,0.2559309849029475,0.7440690150970525,-7.0,260.0,-325.0,72.37400000000001,48.414,2026-09-08T14:11:09Z
2026,8,Week 8,401873026,Baltimore Ravens,Buffalo Bills,2026-11-01T18:00Z,False,DraftKings,-2.5,BUF -2.5,51.5,114,-135,0.448558885283451,0.551441114716549,-2.5,114.0,-135.0,57.784,86.553,2026-09-08T14:11:09Z
2026,8,Week 8,401873031,Tennessee Titans,Cincinnati Bengals,2026-11-01T18:00Z,False,DraftKings,-6.5,CIN -6.5,49.5,235,-290,0.28644876973925815,0.7135512302607419,-6.5,220.0,-270.0,72.37,41.252,2026-09-08T14:11:09Z
2026,8,Week 8,401873024,Arizona Cardinals,Dallas Cowboys,2026-11-01T18:00Z,False,DraftKings,-10.5,DAL -10.5,47.5,410,-550,0.18813314037626627,0.8118668596237336,-10.5,380.0,-500.0,77.73400000000001,38.564,2026-09-08T14:11:09Z
2026,8,Week 8,401873030,Minnesota Vikings,Detroit Lions,2026-11-01T18:00Z,False,DraftKings,-4.5,DET -4.5,47.5,185,-225,0.33635187580853815,0.6636481241914618,-4.5,185.0,-225.0,64.33,62.087,2026-09-08T14:11:09Z
2026,8,Week 8,401873028,Indianapolis Colts,Jacksonville Jaguars,2026-11-01T18:00Z,False,DraftKings,-4.5,JAX -4.5,49.5,185,-225,0.33635187580853815,0.6636481241914618,-4.5,180.0,-218.0,62.68,57.528,2026-09-08T14:11:09Z
2026,8,Week 8,401873029,Las Vegas Raiders,New York Jets,2026-11-01T18:00Z,False,DraftKings,-1.5,NYJ -1.5,40.5,105,-125,0.4675324675324675,0.5324675324675325,-1.5,105.0,-125.0,53.886,7.802,2026-09-08T14:11:09Z
2026,8,Week 8,401873027,Cleveland Browns,Pittsburgh Steelers,2026-11-01T18:00Z,False,DraftKings,-6.0,PIT -6,39.5,215,-265,0.30423004792665137,0.6957699520733487,-5.5,200.0,-245.0,71.975,24.354,2026-09-08T14:11:09Z
2026,8,Week 8,401873025,Atlanta Falcons,Tampa Bay Buccaneers,2026-11-01T18:00Z,False,DraftKings,-4.5,TB -4.5,46.5,180,-218,0.34252477380439467,0.6574752261956054,-4.5,185.0,-225.0,59.339,41.553,2026-09-08T14:11:09Z
2026,8,Week 8,401873032,Los Angeles Chargers,Los Angeles Rams,2026-11-01T21:05Z,False,DraftKings,-4.5,LAR -4.5,48.5,164,-198,0.3630958183058778,0.6369041816941223,-3.5,160.0,-192.0,63.586,88.712,2026-09-08T14:11:09Z
2026,8,Week 8,401873033,Kansas City Chiefs,Denver Broncos,2026-11-01T21:25Z,False,DraftKings,-1.5,DEN -1.5,43.5,105,-125,0.4675324675324675,0.5324675324675325,-1.5,-102.0,-118.0,50.949,70.421,2026-09-08T14:11:09Z
2026,8,Week 8,401873034,New England Patriots,Miami Dolphins,2026-11-01T21:25Z,False,DraftKings,7.0,NE -7,45.5,-355,280,0.7477827050997783,0.2522172949002217,7.0,-325.0,260.0,27.256000000000004,34.708,2026-09-08T14:11:09Z
2026,8,Week 8,401873035,Philadelphia Eagles,Washington Commanders,2026-11-02T01:20Z,False,DraftKings,1.5,PHI -1.5,46.5,-125,105,0.5324675324675325,0.4675324675324675,2.5,-135.0,114.0,42.68,53.291,2026-09-08T14:11:09Z
2026,8,Week 8,401873036,Chicago Bears,Seattle Seahawks,2026-11-03T01:15Z,False,DraftKings,-4.5,SEA -4.5,47.5,180,-218,0.34252477380439467,0.6574752261956054,-4.5,180.0,-218.0,62.531000000000006,74.47,2026-09-08T14:11:09Z
