Season,WeekNum,Week,Game_ID,Away,Home,Kickoff_UTC,NeutralSite,Provider,Spread_Home,Spread_Detail,Over_Under,Away_ML,Home_ML,Away_Win_Prob,Home_Win_Prob,Open_Spread_Home,Open_Away_ML,Open_Home_ML,ESPN_Home_Win_Prob,ESPN_Matchup_Quality,Fetched_At_UTC
2026,13,Week 13,401873096,Kansas City Chiefs,Los Angeles Rams,2026-12-04T01:15Z,False,DraftKings,-3.5,LAR -3.5,47.5,170,-205,0.35527082119976705,0.644729178800233,-3.5,160.0,-192.0,64.652,85.722,2026-09-08T14:11:09Z
2026,13,Week 13,401873098,Detroit Lions,Atlanta Falcons,2026-12-06T18:00Z,False,DraftKings,3.5,DET -3.5,48.5,-185,154,0.6224665518611737,0.3775334481388264,3.5,-185.0,154.0,40.38,52.222,2026-09-08T14:11:09Z
2026,13,Week 13,401873100,Jacksonville Jaguars,Chicago Bears,2026-12-06T18:00Z,False,DraftKings,-3.0,CHI -3,47.5,130,-155,0.4170073589533933,0.5829926410466066,-2.5,120.0,-142.0,54.824,61.562,2026-09-08T14:11:09Z
2026,13,Week 13,401873097,Cincinnati Bengals,Cleveland Browns,2026-12-06T18:00Z,False,DraftKings,4.5,CIN -4.5,45.5,-218,180,0.6574752261956054,0.34252477380439467,4.5,-218.0,180.0,31.447000000000003,36.966,2026-09-08T14:11:09Z
2026,13,Week 13,401873099,Green Bay Packers,New Orleans Saints,2026-12-06T18:00Z,False,DraftKings,4.5,GB -4.5,45.5,-225,185,0.6636481241914618,0.33635187580853815,4.5,-230.0,190.0,35.474,50.297,2026-09-08T14:11:09Z
2026,13,Week 13,401873095,San Francisco 49ers,New York Giants,2026-12-06T18:00Z,False,DraftKings,3.0,SF -3,47.5,-166,140,0.5996387718242023,0.4003612281757977,3.0,-162.0,136.0,40.492,55.604,2026-09-08T14:11:09Z
2026,13,Week 13,401873101,Los Angeles Chargers,Tampa Bay Buccaneers,2026-12-06T18:00Z,False,DraftKings,2.5,LAC -2.5,46.5,-142,120,0.5634920634920635,0.43650793650793646,1.5,-125.0,105.0,45.222,65.609,2026-09-08T14:11:09Z
2026,13,Week 13,401873102,Washington Commanders,Tennessee Titans,2026-12-06T18:00Z,False,DraftKings,1.5,WSH -1.5,46.5,-125,105,0.5324675324675325,0.4675324675324675,1.5,-118.0,-102.0,46.327,24.084,2026-09-08T14:11:09Z
2026,13,Week 13,401873104,Philadelphia Eagles,Arizona Cardinals,2026-12-06T21:05Z,False,DraftKings,8.5,PHI -8.5,43.5,-395,310,0.7659021045164341,0.23409789548356585,8.5,-425.0,330.0,28.749999999999996,39.399,2026-09-08T14:11:09Z
2026,13,Week 13,401873103,Miami Dolphins,Denver Broncos,2026-12-06T21:05Z,False,DraftKings,-9.5,DEN -9.5,42.5,350,-455,0.2132564841498559,0.7867435158501441,-9.5,380.0,-500.0,79.953,34.206,2026-09-08T14:11:09Z
2026,13,Week 13,401873106,Carolina Panthers,Minnesota Vikings,2026-12-06T21:25Z,False,DraftKings,-3.5,MIN -3.5,42.5,160,-192,0.3690596562184025,0.6309403437815976,-3.5,164.0,-198.0,63.946000000000005,32.244,2026-09-08T14:11:09Z
2026,13,Week 13,401873105,Buffalo Bills,New England Patriots,2026-12-06T21:25Z,False,DraftKings,-1.5,NE -1.5,48.5,102,-122,0.4739134147382802,0.5260865852617197,-1.5,-105.0,-115.0,45.131,77.408,2026-09-08T14:11:09Z
2026,13,Week 13,401873107,Houston Texans,Pittsburgh Steelers,2026-12-07T01:20Z,False,DraftKings,1.5,HOU -1.5,41.5,-122,102,0.5260865852617197,0.4739134147382802,1.5,-118.0,-102.0,48.519,53.246,2026-09-08T14:11:09Z
2026,13,Week 13,401873108,Dallas Cowboys,Seattle Seahawks,2026-12-08T01:15Z,False,DraftKings,-4.5,SEA -4.5,48.5,185,-225,0.33635187580853815,0.6636481241914618,-4.5,185.0,-225.0,60.214,76.635,2026-09-08T14:11:09Z
