Season,WeekNum,Week,Game_ID,Away,Home,Kickoff_UTC,NeutralSite,Provider,Spread_Home,Spread_Detail,Over_Under,Away_ML,Home_ML,Away_Win_Prob,Home_Win_Prob,Open_Spread_Home,Open_Away_ML,Open_Home_ML,ESPN_Home_Win_Prob,ESPN_Matchup_Quality,Fetched_At_UTC
2026,9,Week 9,401873037,Jacksonville Jaguars,Baltimore Ravens,2026-11-06T01:15Z,False,DraftKings,-4.5,BAL -4.5,49.5,170,-205,0.35527082119976705,0.644729178800233,-4.5,180.0,-218.0,62.656,73.605,2026-09-08T14:11:09Z
2026,9,Week 9,401873038,Cincinnati Bengals,Atlanta Falcons,2026-11-08T14:30Z,True,DraftKings,5.5,CIN -5.5,49.5,-230,190,0.6690070210631895,0.33099297893681046,4.5,-225.0,185.0,38.332,48.145,2026-09-08T14:11:09Z
2026,9,Week 9,401873041,Denver Broncos,Carolina Panthers,2026-11-08T18:00Z,False,DraftKings,3.0,DEN -3,42.5,-162,136,0.593369754159424,0.4066302458405761,3.0,-162.0,136.0,40.201,42.904,2026-09-08T14:11:09Z
2026,9,Week 9,401873040,Dallas Cowboys,Indianapolis Colts,2026-11-08T18:00Z,False,DraftKings,1.5,DAL -1.5,52.5,-125,105,0.5324675324675325,0.4675324675324675,1.5,-125.0,105.0,46.531,57.486,2026-09-08T14:11:09Z
2026,9,Week 9,401873045,New York Jets,Kansas City Chiefs,2026-11-08T18:00Z,False,DraftKings,-9.5,KC -9.5,41.5,360,-470,0.20863836017569545,0.7913616398243045,-9.5,360.0,-470.0,78.804,42.575,2026-09-08T14:11:09Z
2026,9,Week 9,401873042,Detroit Lions,Miami Dolphins,2026-11-08T18:00Z,False,DraftKings,6.5,DET -6.5,47.5,-278,225,0.705033164260632,0.2949668357393679,6.5,-270.0,220.0,25.785000000000004,39.6,2026-09-08T14:11:09Z
2026,9,Week 9,401873039,Cleveland Browns,New Orleans Saints,2026-11-08T18:00Z,False,DraftKings,-3.5,NO -3.5,41.5,160,-192,0.3690596562184025,0.6309403437815976,-3.5,160.0,-192.0,64.069,14.895,2026-09-08T14:11:09Z
2026,9,Week 9,401873044,New York Giants,Philadelphia Eagles,2026-11-08T18:00Z,False,DraftKings,-5.5,PHI -5.5,44.5,195,-238,0.3249687530045188,0.6750312469954812,-5.5,195.0,-238.0,65.659,54.504,2026-09-08T14:11:09Z
2026,9,Week 9,401873043,Los Angeles Rams,Washington Commanders,2026-11-08T18:00Z,False,DraftKings,4.5,LAR -4.5,50.5,-225,185,0.6636481241914618,0.33635187580853815,4.5,-205.0,170.0,31.968999999999998,65.794,2026-09-08T14:11:09Z
2026,9,Week 9,401873046,Houston Texans,Los Angeles Chargers,2026-11-08T21:05Z,False,DraftKings,-2.5,LAC -2.5,43.5,120,-142,0.43650793650793646,0.5634920634920635,-1.5,110.0,-130.0,57.321999999999996,71.876,2026-09-08T14:11:09Z
2026,9,Week 9,401873047,Las Vegas Raiders,San Francisco 49ers,2026-11-08T21:05Z,False,DraftKings,-8.5,SF -8.5,46.5,330,-425,0.22316684378320936,0.7768331562167907,-8.5,330.0,-425.0,78.89,44.237,2026-09-08T14:11:09Z
2026,9,Week 9,401873049,Green Bay Packers,New England Patriots,2026-11-08T21:25Z,False,DraftKings,-1.5,NE -1.5,46.5,105,-125,0.4675324675324675,0.5324675324675325,-1.5,105.0,-125.0,50.671,72.996,2026-09-08T14:11:09Z
2026,9,Week 9,401873048,Arizona Cardinals,Seattle Seahawks,2026-11-08T21:25Z,False,DraftKings,-13.5,SEA -13.5,45.5,575,-850,0.14205607476635515,0.8579439252336449,-13.5,525.0,-750.0,81.54599999999999,45.089,2026-09-08T14:11:09Z
2026,9,Week 9,401873050,Tampa Bay Buccaneers,Chicago Bears,2026-11-09T01:20Z,False,DraftKings,-3.5,CHI -3.5,48.5,160,-192,0.3690596562184025,0.6309403437815976,-3.5,160.0,-192.0,58.452000000000005,53.203,2026-09-08T14:11:09Z
2026,9,Week 9,401873051,Buffalo Bills,Minnesota Vikings,2026-11-10T01:15Z,False,DraftKings,3.0,BUF -3,48.5,-170,142,0.6037569709421778,0.3962430290578221,3.0,-155.0,130.0,37.486999999999995,66.676,2026-09-08T14:11:09Z
