file,season,week,espn_last_updated,fetched_at_utc
week1_fpi.csv,2026,1,2026-08-31T14:44Z,2026-09-08T13:12:41Z
week1_fpi.csv,2026,1,2026-08-31T14:44Z,2026-09-08T13:13:26Z
