,Name,ID,Nearest Town,County,,
140,Starry,1019000,Little Pine,Aitkin,,
7,Bass,1019500,Swatara,Aitkin,,
103,Otter,1019600,Swatara,Aitkin,,
82,Little McKinney,1019700,Swatara,Aitkin,,
93,McKinney,1019900,Swatara,Aitkin,,
133,Shovel,1020000,Shovel Lake,Aitkin,,
64,Holy Water,1020100,Shovel Lake,Aitkin,,
124,Round,1020400,Garrison,Aitkin,,
13,Birch,1020600,White Hawk,Aitkin,,
154,Townline,1020700,Aitkin,Aitkin,,
146,Sunset,1020800,Aitkin,Aitkin,,
28,Cedar,1020900,Aitkin,Aitkin,,
29,Cedar(Main Basin),1020901,,Aitkin,,
30,Cedar(N.E. Arm),1020902,,Aitkin,,
31,Cedar(West Bay),1020903,,Aitkin,,
21,Brown,1021000,Little Pine,Aitkin,,
97,Moulton,1021200,Emily,Aitkin,,
85,Little Turtle,1021700,Bennettville,Aitkin,,
125,Round,1021900,Bennettville,Aitkin,,
25,Camp,1022300,Aitkin,Aitkin,,
71,Johnson,1023200,Bennettville,Aitkin,,
72,Killroy,1023800,Glory,Aitkin,,
159,Unnamed,1023900,Glory,Aitkin,,
160,Unnamed,1024200,Glory,Aitkin,,
18,Bone,1025400,Tamarack,Aitkin,,
161,Unnamed,1028500,Waukenabo,Aitkin,,
180,West,1028700,Waukenabo,Aitkin,,
162,Unnamed,1031400,Glory,Aitkin,,
137,Sjodin,1031600,Glory,Aitkin,,
175,Upper Blind,1033100,Waldeck,Aitkin,,
163,Unnamed,1035900,,Aitkin,,
164,Unnamed,1037200,Aitkin,Aitkin,,
69,Jewett WMA Impoundment,1038300,,Aitkin,,
165,Unnamed,1041300,East Lake,Aitkin,,
166,Unnamed,1041900,Waukenabo,Aitkin,,
167,Unnamed,1042100,Minnewawa,Aitkin,,
168,Unnamed,1043100,Hill City,Aitkin,,
81,Little Hill Impound.,1043300,,Aitkin,,
169,Unnamed,1044700,Rossburg,Aitkin,,
170,Unnamed,1044800,,Aitkin,,
171,Unnamed,1044900,,Aitkin,,
172,Unnamed,1045000,,Aitkin,,
173,Unnamed,1045100,,Aitkin,,
174,Unnamed,1045200,,Aitkin,,
45,Otter,2000300,Bald Eagle,Anoka,,
46,Peltier,2000400,Centerville (Anoka),Anoka,,
21,George Watch,2000500,Lino Lakes,Anoka,,
8,Centerville,2000600,Centerville (Anoka),Anoka,,
35,Marshan,2000700,Lino Lakes,Anoka,,
51,Rice,2000800,Circle Pines,Anoka,,
50,Reshanau,2000900,Lino Lakes,Anoka,,
96,Wards,2001000,Lino Lakes,Anoka,,
7,Cedar,2001200,,Anoka,,
1,Baldwin,2001300,Circle Pines,Anoka,,
0,Amelia,2001400,Centerville (Anoka),Anoka,,
54,Rondeau,2001500,Centerville (Anoka),Anoka,,
28,Howard,2001600,Forest Lake,Anoka,,
10,Columbus,2001800,Forest Lake,Anoka,,
14,Crossways,2001900,Centerville (Anoka),Anoka,,
29,Island,2002200,Wyoming,Anoka,,
58,Skunk,2002500,Linwood,Anoka,,
32,Linwood,2002600,Wyoming,Anoka,,
4,Boot,2002800,Linwood,Anoka,,
36,Martin,2003400,Wyoming,Anoka,,
18,Fawn,2003500,Stacy,Anoka,,
47,Pet,2003600,Martin Lake,Anoka,,
40,Mud,2003700,Martin Lake,Anoka,,
11,Coon,2004200,Soderville,Anoka,,
52,Rice,2004300,Linwood,Anoka,,
63,Unnamed,2004400,,Anoka,,
22,Golden,2004500,Circle Pines,Anoka,,
59,South Coon,2004800,Lake Netta,Anoka,,
43,Netta,2005200,Lake Netta,Anoka,,
25,Ham,2005300,Ham Lake,Anoka,,
42,Neds,2005700,Mort,Anoka,,
15,Deer,2005900,Mort,Anoka,,
19,Fish,2006500,East Bethel,Anoka,,
38,Minard,2006700,Coopers Corner,Anoka,,
12,Coopers,2007000,Coopers Corner,Anoka,,
60,Spring,2007100,Spring Lake Park,Anoka,,
31,Laddie,2007200,Spring Lake Park,Anoka,,
39,Moore,2007500,,Anoka,,
16,East Moore,2007501,Fridley,Anoka,,
97,West Moore,2007502,Fridley,Anoka,,
34,Locke,2007700,Fridley,Anoka,,
64,Unnamed,2007900,Hilltop,Anoka,,
57,Sandy,2008000,Hilltop,Anoka,,
26,Hart,2008100,Saint Anthony (Hennepin),Anoka,,
37,McKay,2008300,Northdale,Anoka,,
13,Crooked,2008400,Andover,Anoka,,
55,Round,2008900,Anoka,Anoka,,
5,Bunker,2009000,Andover,Anoka,,
20,George,2009100,Saint Francis (Anoka),Anoka,,
23,Grass,2009200,Oak Grove,Anoka,,
27,Hickey,2009600,Oak Grove,Anoka,,
41,Mud,2009700,,Anoka,,
62,Swan,2009800,Cedar,Anoka,,
56,Sand Shore,2010200,Bethel,Anoka,,
53,Rogers,2010400,Oak Grove,Anoka,,
44,Norris,2010600,Saint Francis (Anoka),Anoka,,
30,Itasca,2011000,Dayton,Anoka,,
24,Grass,2011300,Ramsey (Anoka),Anoka,,
65,Unnamed,2011400,,Anoka,,
95,Unnamed (south portion),2011402,Ramsey (Anoka),Anoka,,
6,Burns,2012200,Elk River,Anoka,,
49,Pinnaker,2012800,Nowthen,Anoka,,
48,Pickerel,2013000,Nowthen,Anoka,,
3,Bear,2013100,Nowthen,Anoka,,
17,East Twin,2013300,Elk River,Anoka,,
2,Bass,2013500,Nowthen,Anoka,,
66,Unnamed,2029000,,Anoka,,
67,Unnamed,2032800,,Anoka,,
68,Unnamed,2033800,,Anoka,,
69,Unnamed,2034100,,Anoka,,
70,Unnamed,2039700,,Anoka,,
71,Unnamed,2042700,,Anoka,,
72,Unnamed,2042900,Constance,Anoka,,
73,Unnamed,2043200,,Anoka,,
74,Unnamed,2043300,,Anoka,,
92,Unnamed (NW portion),2043301,,Anoka,,
94,Unnamed (center portion),2043302,,Anoka,,
93,Unnamed (SE portion),2043303,,Anoka,,
75,Unnamed,2047400,,Anoka,,
76,Unnamed,2050400,Wyoming,Anoka,,
77,Unnamed,2052900,,Anoka,,
78,Unnamed,2057900,,Anoka,,
79,Unnamed,2058300,,Anoka,,
33,Loch Ness,2058500,Circle Pines,Anoka,,
80,Unnamed,2058900,,Anoka,,
81,Unnamed,2059100,,Anoka,,
82,Unnamed,2061500,,Anoka,,
83,Unnamed,2061600,,Anoka,,
84,Unnamed,2062600,,Anoka,,
85,Unnamed,2064600,,Anoka,,
86,Unnamed,2065400,Coon Rapids,Anoka,,
87,Unnamed,2065600,,Anoka,,
88,Unnamed,2068600,Hilltop,Anoka,,
89,Unnamed,2070400,,Anoka,,
90,Unnamed,2072200,,Anoka,,
91,Unnamed,2072800,,Anoka,,
9,Club West,2076400,Blaine,Anoka,,
61,Sunrise,2077300,Blaine,Anoka,,
101,Knutson,3000400,Osage,Becker,,
182,Shipman,3000500,Osage,Becker,,
27,Blueberry,3000700,Osage,Becker,,
111,Little Long,3000900,Wolf Lake,Becker,,
197,Straight,3001000,Osage,Becker,,
206,Two Inlets,3001700,Two Inlets,Becker,,
185,Small,3002100,Two Inlets,Becker,,
86,Hungry Man,3002900,Two Inlets,Becker,,
29,Boot,3003000,Two Inlets,Becker,,
71,Gilfillan,3003100,Goldenrod,Becker,,
79,Hernando DeSoto,3003200,Goldenrod,Becker,,
205,Twin Island,3003300,Goldenrod,Becker,,
1,Abners,3003900,Goldenrod,Becker,,
100,Kane,3004200,Park Rapids,Becker,,
49,Dinner,3004400,Park Rapids,Becker,,
137,Morrison,3004900,Goldenrod,Becker,,
158,Pickerel,3005800,Snellman,Becker,,
32,Branch,3006100,Wolf Lake,Becker,,
207,Unnamed,3006400,,Becker,,
54,Elbow,3006500,Ponsford,Becker,,
76,Gyles,3006600,Osage,Becker,,
138,Mud,3006700,,Becker,,
208,Unnamed,3007300,Two Inlets,Becker,,
209,Unnamed,3007400,Two Inlets,Becker,,
210,Unnamed,3007500,Park Rapids,Becker,,
211,Unnamed,3007700,Pine Point,Becker,,
247,Wahbegon,3008200,Pine Point,Becker,,
135,Missouri,3008400,Goldenrod,Becker,,
9,Bad Medicine,3008500,Ponsford,Becker,,
13,Bass,3008800,Ponsford,Becker,,
19,Big Basswood,3009600,Goldenrod,Becker,,
186,Sockeye,3009700,Goldenrod,Becker,,
253,Wolf,3010100,Wolf Lake,Becker,,
181,Shell,3010200,Snellman,Becker,,
22,Big Rush,3010300,Pine Point,Becker,,
5,Aspinwall,3010400,Pine Point,Becker,,
202,Toad,3010700,Osage,Becker,,
183,Sieverson,3010800,Snellman,Becker,,
139,Mud,3012000,Ponsford,Becker,,
98,Jones,3012300,Snellman,Becker,,
51,Dumbbell,3012400,Snellman,Becker,,
14,Bass,3012700,Snellman,Becker,,
75,Green Water,3013400,Pine Point,Becker,,
99,Juggler,3013600,Ponsford,Becker,,
160,Pike,3013900,Elbow Lake Village,Becker,,
136,Moore,3015200,Elbow Lake Village,Becker,,
91,Island,3015300,Snellman,Becker,,
169,Round,3015500,Ponsford,Becker,,
87,Ice Cracking,3015600,Ponsford,Becker,,
201,Tea Cracker,3015700,Pine Point,Becker,,
125,Many Point,3015800,Ponsford,Becker,,
55,Elbow,3015900,Waubun,Becker,,
47,Dead,3016000,Evergreen,Becker,,
118,Lizzy,3016300,Rochert,Becker,,
85,Hungry,3016600,Frazee,Becker,,
163,Rice,3017300,Frazee,Becker,,
212,Unnamed,3017500,Rochert,Becker,,
77,Hanson,3017700,Rochert,Becker,,
150,North Twin,3018000,Rochert,Becker,,
189,South Twin,3018200,Detroit Lakes,Becker,,
140,Mud,3018700,Rochert,Becker,,
112,Little Mud,3018800,Rochert,Becker,,
117,Little Toad,3018900,Frazee,Becker,,
78,Height of Land,3019500,Detroit Lakes,Becker,,
41,Chippewa,3019600,Rochert,Becker,,
26,Blackbird,3019700,Rochert,Becker,,
30,Booth,3019800,Rochert,Becker,,
96,Johnson,3019900,Rochert,Becker,,
161,Pine,3020000,Rochert,Becker,,
164,Rice,3020100,Rochert,Becker,,
60,Evans,3020200,Rochert,Becker,,
141,Mud,3020300,Rochert,Becker,,
244,Upper Egg,3020600,Elbow Lake Village,Becker,,
39,Carman,3020900,Elbow Lake Village,Becker,,
122,Lower Egg,3021000,Elbow Lake Village,Becker,,
36,Bush,3021200,Elbow Lake Village,Becker,,
246,Waboose,3021300,Ponsford,Becker,,
191,Spindler,3021400,Elbow Lake Village,Becker,,
252,Winter,3021600,Richwood,Becker,,
109,Little Flat,3021700,Richwood,Becker,,
58,Equay,3021900,Rochert,Becker,,
68,Gable,3022500,Elbow Lake Village,Becker,,
213,Unnamed,3023100,Elbow Lake Village,Becker,,
106,Little Bemidji,3023400,Ponsford,Becker,,
124,Mallard,3023500,Elbow Lake Village,Becker,,
214,Unnamed,3023600,Elbow Lake Village,Becker,,
114,Little Rice,3023900,Elbow Lake Village,Becker,,
84,Hubbel Pond,3024000,Rochert,Becker,,
200,Tamarack,3024100,,Becker,,
188,South Tamarack,3024101,Rochert,Becker,,
149,North Tamarack,3024102,Rochert,Becker,,
63,Flat,3024200,Richwood,Becker,,
127,Mary Yellowhead,3024300,Richwood,Becker,,
113,Little Rat,3024500,Elbow Lake Village,Becker,,
21,Big Rat,3024600,Elbow Lake Village,Becker,,
56,Elbow,3025100,Frazee,Becker,,
2,Acorn,3025800,Frazee,Becker,,
40,Chilton,3026000,Frazee,Becker,,
203,Town,3026400,Frazee,Becker,,
52,Eagle,3026500,Frazee,Becker,,
3,Albertson,3026600,Frazee,Becker,,
62,Five,3026900,Rochert,Becker,,
157,Perch,3027300,Detroit Lakes,Becker,,
173,Sand,3027400,Rochert,Becker,,
89,Irish,3027500,Rochert,Becker,,
194,St. Patrick,3027700,Detroit Lakes,Becker,,
178,Schultz,3027800,Detroit Lakes,Becker,,
148,Neuner,3028200,Rochert,Becker,,
83,Howe,3028300,Rochert,Becker,,
215,Unnamed,3028400,Detroit Lakes,Becker,,
42,Cotton,3028600,Rochert,Becker,,
159,Pickerel,3028700,Detroit Lakes,Becker,,
165,Rice,3029100,Richwood,Becker,,
12,Balsam,3029200,Richwood,Becker,,
167,Rock,3029300,Detroit Lakes,Becker,,
115,Little Round,3030200,Richwood,Becker,,
17,Bear,3030300,White Earth,Becker,,
23,Big Sugar Bush,3030400,Richwood,Becker,,
116,Little Sugar Bush,3031300,Richwood,Becker,,
198,Strawberry,3032300,White Earth,Becker,,
250,White Earth,3032800,White Earth,Becker,,
61,Fish Hook,3033100,White Earth,Becker,,
15,Bass,3033200,White Earth,Becker,,
147,Net,3033400,White Earth,Becker,,
105,Little Bass,3033700,White Earth,Becker,,
93,Jack Haw,3033900,White Earth,Becker,,
28,Blueberry,3034100,White Earth,Becker,,
35,Buffalo,3035000,Richwood,Becker,,
92,Island,3035100,Richwood,Becker,,
25,Birch,3035200,White Earth,Becker,,
177,Sauer,3035500,Detroit Lakes,Becker,,
144,Munson,3035700,Detroit Lakes,Becker,,
67,Fox,3035800,Detroit Lakes,Becker,,
172,Sallie,3035900,Detroit Lakes,Becker,,
145,Muskrat,3036000,Detroit Lakes,Becker,,
44,Curfman,3036300,Shoreham,Becker,,
72,Glawe,3036400,Shoreham,Becker,,
180,Senical,3036500,Detroit Lakes,Becker,,
0,Abbey,3036600,Shoreham,Becker,,
184,Slough,3036800,Shoreham,Becker,,
129,Meadow,3037100,Detroit Lakes,Becker,,
97,Johnson,3037401,Shoreham,Becker,,
162,Reeves,3037402,Shoreham,Becker,,
104,Lind,3037600,Shoreham,Becker,,
133,Mill,3037700,Detroit Lakes,Becker,,
48,Detroit,3038100,Detroit Lakes,Becker,,
192,St. Clair,3038200,Detroit Lakes,Becker,,
119,Long,3038300,Detroit Lakes,Becker,,
110,Little Floyd,3038600,Detroit Lakes,Becker,,
64,Floyd,3038700,Detroit Lakes,Becker,,
142,Mud,3038701,,Becker,,
65,Floyd (south bay),3038702,,Becker,,
152,Oak,3039200,Richards,Becker,,
216,Unnamed,3039300,Richards,Becker,,
166,Rice,3039400,Detroit Lakes,Becker,,
251,Wine,3039800,Richards,Becker,,
33,Brandy,3040000,Richards,Becker,,
217,Unnamed,3040100,Detroit Lakes,Becker,,
143,Mud,3040200,Detroit Lakes,Becker,,
16,Bean,3041100,Westbury,Becker,,
69,Gandrud,3041400,Westbury,Becker,,
37,Campbell,3041900,Westbury,Becker,,
176,Sands,3042000,Westbury,Becker,,
151,O-Me-Mee,3042800,Callaway,Becker,,
193,St. Clair,3043000,Richwood,Becker,,
154,Onion,3045300,White Earth,Becker,,
70,Gay Bow,3045400,White Earth,Becker,,
82,Hospital,3045500,White Earth,Becker,,
245,Uran,3046200,Ogema,Becker,,
134,Mission,3047100,White Earth,Becker,,
34,Buck,3047300,Bucks Mill,Becker,,
46,Dart,3047400,Shoreham,Becker,,
130,Melissa,3047500,Detroit Lakes,Becker,,
10,Baker,3047800,Ogema,Becker,,
57,Ellison,3048400,Audubon,Becker,,
190,Spear,3048500,Lake Eunice,Becker,,
156,Pearl,3048600,Detroit Lakes,Becker,,
121,Loon,3048900,Lake Eunice,Becker,,
128,Maud,3050000,Audubon,Becker,,
59,Eunice,3050300,Audubon,Becker,,
108,Little Cormorant,3050600,Audubon,Becker,,
218,Unnamed,3050700,Westbury,Becker,,
219,Unnamed,3050800,Westbury,Becker,,
220,Unnamed,3050900,Audubon,Becker,,
81,Homestead,3051000,,Becker,,
38,Canary,3051600,Lake Park,Becker,,
6,Audubon,3052100,Audubon,Becker,,
126,Marshall,3052600,Audubon,Becker,,
73,Gottenberg,3052800,Audubon,Becker,,
94,Jay,3053200,Audubon,Becker,,
179,Seabold,3055000,LaBelle,Becker,,
4,Apple,3056700,Flom,Becker,,
43,Cucumber,3057100,Ogema,Becker,,
221,Unnamed,3057400,Ogema,Becker,,
102,Leif,3057500,Audubon,Becker,,
20,Big Cormorant,3057600,Audubon,Becker,,
45,Dahlberg,3057700,Audubon,Becker,,
31,Boyer,3057900,Lake Park,Becker,,
248,Warling,3058100,LaBelle,Becker,,
88,Ida,3058200,Lake Park,Becker,,
18,Bergerson,3058500,Cormorant,Becker,,
168,Rossman,3058700,Lake Park,Becker,,
243,Upper Cormorant,3058800,Lake Park,Becker,,
146,Nelson,3059500,Cormorant,Becker,,
222,Unnamed,3059600,Cormorant,Becker,,
131,Middle Cormorant,3060200,Lake Park,Becker,,
223,Unnamed,3060300,Cormorant,Becker,,
224,Unnamed,3061100,LaBelle,Becker,,
107,Little Boyer,3061200,LaBelle,Becker,,
225,Unnamed,3061300,LaBelle,Becker,,
174,Sand,3061800,Lake Park,Becker,,
199,Talac,3061900,Lake Park,Becker,,
123,Lund Brothers Marsh,3062100,Lake Park,Becker,,
153,Ode,3062300,,Becker,,
66,Forget-Me-Not,3062400,LaBelle,Becker,,
187,Sorenson,3062500,Lake Park,Becker,,
226,Unnamed,3062700,Lake Park,Becker,,
195,Stakke,3063100,Lake Park,Becker,,
155,Orange,3063400,LaBelle,Becker,,
74,Gourd,3063500,LaBelle,Becker,,
24,Bijou,3063800,Lake Park,Becker,,
170,Round,3064000,Lake Park,Becker,,
249,West LaBelle,3064500,Lake Park,Becker,,
103,Lime,3064600,Lake Park,Becker,,
196,Stinking,3064700,Dale,Becker,,
53,East LaBelle,3064800,Lake Park,Becker,,
227,Unnamed,3064900,Lake Park,Becker,,
228,Unnamed,3065000,Lake Park,Becker,,
11,Balke,3065200,Lake Park,Becker,,
171,Rustad,3065300,Hitterdal,Becker,,
229,Unnamed,3065500,Flom,Becker,,
230,Unnamed,3065600,Flom,Becker,,
204,Turtle,3065700,Lake Park,Becker,,
120,Long,3065800,Rollag,Becker,,
175,Sand,3065900,Lake Park,Becker,,
7,Axberg (Main Basin),3066001,,Becker,,
8,Axberg (West Basin),3066002,,Becker,,
95,Johnny Cake,3067800,Elbow Lake Village,Becker,,
231,Unnamed,3070700,,Becker,,
232,Unnamed,3070800,,Becker,,
233,Unnamed,3071000,Goldenrod,Becker,,
234,Unnamed,3075100,Cormorant,Becker,,
235,Unnamed,3078600,Two Inlets,Becker,,
236,Unnamed,3083900,,Becker,,
237,Unnamed,3092400,,Becker,,
238,Unnamed,3109300,Richwood,Becker,,
90,Iron Corner,3111300,Goldenrod,Becker,,
132,Mikenna,3111500,Goldenrod,Becker,,
239,Unnamed,3112100,,Becker,,
240,Unnamed,3115200,Lake Park,Becker,,
241,Unnamed,3117000,,Becker,,
242,Unnamed,3117500,Rochert,Becker,,
50,Donley Wetland,3125600,,Becker,,
80,Hesby,3128100,Audubon,Becker,,
24,Burns,4000100,Pennington,Beltrami,,
112,Pug Hole,4000300,Pennington,Beltrami,,
126,Schram,4000500,Bald Eagle Center,Beltrami,,
73,Kitchi,4000700,Pennington,Beltrami,,
79,Little Moose,4000800,Pennington,Beltrami,,
97,Moose,4001100,Pennington,Beltrami,,
111,Popple,4001400,Pennington,Beltrami,,
82,Little Rice,4001500,Pennington,Beltrami,,
1,Anderson,4001900,Hines,Beltrami,,
6,Baumgartner,4002100,Pennington,Beltrami,,
164,Webster,4002200,Blackduck,Beltrami,,
56,Gilstad,4002400,Blackduck,Beltrami,,
23,Bullhead,4002800,Kelliher,Beltrami,,
30,Cass,4003000,Cass Lake,Beltrami,,
15,Big Rice,4003100,Pennington,Beltrami,,
108,Pimushe,4003200,Pennington,Beltrami,,
10,Benjamin,4003300,Blackduck,Beltrami,,
114,Rabideau,4003400,Blackduck,Beltrami,,
115,Red,4003500,,Beltrami,,
117,Red (Upper Red),4003501,Waskish,Beltrami,,
116,Red (Lower Red),4003502,,Beltrami,,
40,Drewery,4003600,Cass Lake,Beltrami,,
2,Andrusia,4003800,Cass Lake,Beltrami,,
129,Silver,4003900,Andrusia,Beltrami,,
141,Ten,4004100,Andrusia,Beltrami,,
21,Buck,4004200,Pennington,Beltrami,,
88,Lost,4004300,Andrusia,Beltrami,,
96,Mission,4004600,Andrusia,Beltrami,,
168,Windigo,4004800,Cass Lake,Beltrami,,
11,Big,4004900,Bemidji,Beltrami,,
92,Meadow,4005000,Turtle River,Beltrami,,
49,Flora,4005100,Andrusia,Beltrami,,
132,South Twin,4005300,Bemidji,Beltrami,,
29,Carter,4005600,Tenstrike,Beltrami,,
103,Nelson,4005700,Tenstrike,Beltrami,,
121,Rice Pond,4005900,Tenstrike,Beltrami,,
4,Bass,4006200,Tenstrike,Beltrami,,
104,North Twin,4006300,Turtle River,Beltrami,,
61,Gull,4006400,Tenstrike,Beltrami,,
64,Hanson,4006600,Hines,Beltrami,,
42,Dutchman,4006700,Hines,Beltrami,,
45,Erickson,4006800,,Beltrami,,
46,Erickson (NW Portion),4006801,Tenstrike,Beltrami,,
47,Erickson (SE Portion),4006802,Tenstrike,Beltrami,,
17,Blackduck,4006900,Blackduck,Beltrami,,
84,Long,4007600,Turtle River,Beltrami,,
169,Wolf,4007900,Bemidji,Beltrami,,
139,Swenson,4008500,Bemidji,Beltrami,,
