lake_id,lattitude,longitude
04030700,47.713981,-95.087098
04032900,47.796612,-95.101448
04033100,47.78701,-95.086344
04034200,47.471842,-95.187831
04034300,47.744126,-95.207419
05000700,45.697139,-94.100333
05001300,45.74584,-94.165296
06000100,45.184134,-96.145573
06000200,45.345296,-96.134434
06002900,45.326703,-96.362226
06012100,45.49847,-96.473284
06013800,45.55428,-96.445299
06015200,45.414671,-96.676346
06017000,45.563699,-96.576063
07001900,43.989815,-93.826455
07002400,43.939845,-93.801544
07004300,44.110211,-93.786815
07004400,44.195103,-93.818471
07004500,44.194127,-93.848244
07004700,44.229755,-93.868547
07005300,44.21146,-93.816463
07005400,44.21055,-93.828597
07005800,43.991669,-93.895244
07006000,44.206587,-93.889774
07006001,44.206587,-93.889774
07006002,44.206587,-93.889774
07007700,44.236163,-93.907079
07007900,43.848149,-94.050053
07009000,43.921423,-94.143712
07009600,44.09488,-94.183435
07009700,44.078241,-94.145448
07009800,44.108149,-94.212002
08001100,44.253965,-94.518117
08002600,44.152083,-94.636999
08004500,44.308714,-94.727737
08005400,44.200963,-94.844765
08009600,44.250846,-94.882702
08012900,44.120555,-95.090305
09000300,46.446556,-92.456
09000800,46.631521,-92.456989
09001000,46.593071,-92.464764
09001600,46.533893,-92.547533
09002600,46.631087,-92.618183
09002900,46.614188,-92.644624
09003200,46.709699,-92.640535
09003400,46.500527,-92.680655
09003500,46.487564,-92.67217
09003600,46.680326,-92.677758
09003800,46.481868,-92.704529
09004100,46.45202,-92.756651
09004400,46.435003,-92.732574
09004900,46.635431,-92.789733
09005300,46.731397,-92.703809
09005700,46.648226,-92.903473
09006000,46.664793,-92.87002
09006001,46.664793,-92.87002
09006002,46.664793,-92.87002
09006700,46.656065,-93.007696
09006800,46.661488,-93.044252
09016700,46.668114,-92.307804
10000200,44.834358,-93.512338
10000600,44.866968,-93.523464
10000900,44.878815,-93.602089
10001100,44.875568,-93.620769
10001200,44.868918,-93.55669
10001300,44.854241,-93.543258
10001500,44.883495,-93.638439
10001900,44.83616,-93.647052
10004100,44.879999,-93.66292
10004200,44.878805,-93.735907
10004400,44.871225,-93.696193
10004401,44.871225,-93.696193
10004402,44.871225,-93.696193
10004500,44.865292,-93.656506
10004800,44.846313,-93.677113
10004801,44.846313,-93.677113
10004802,44.846313,-93.677113
10005200,44.840669,-93.748254
10005300,44.831998,-93.703101
10005800,44.718454,-93.768843
10005900,44.871425,-93.759209
10006300,44.689056,-93.885135
10007800,44.798341,-93.86942
10008600,44.830382,-93.878531
10008800,44.819083,-93.873438
10008900,44.8902,-93.847682
10009500,44.933773,-93.812572
10010800,44.787924,-93.962013
10012100,44.804655,-93.9389
11000900,46.959396,-93.88736
11000901,46.959396,-93.88736
11000902,46.959396,-93.88736
11002600,47.153518,-93.85461
11002900,47.184718,-93.874225
11003700,46.829935,-93.9166
11004300,46.808086,-93.952861
11004301,46.808086,-93.952861
11004302,46.808086,-93.952861
11004500,46.852661,-93.982395
11004600,46.849936,-93.987941
11005300,46.819714,-93.939107
11005900,46.851636,-93.976874
11006200,46.945278,-93.970193
11006900,46.90275,-93.953175
11007300,46.991956,-93.954946
11007700,47.067547,-93.957362
11008600,47.122681,-93.943776
11009200,47.081901,-93.981978
11009400,47.147592,-93.955804
11009600,47.213322,-93.961144
11010000,47.260611,-93.94572
11010100,46.86695,-94.019124
11010200,46.926643,-94.057744
11010400,46.976913,-94.018633
11010500,46.977537,-94.04647
11011600,46.917859,-94.074338
11011800,46.910427,-94.140851
11012000,46.958265,-94.126778
11012001,46.958265,-94.126778
11012002,46.958265,-94.126778
11012100,47.045371,-94.075927
11012900,46.987702,-94.053325
11014200,47.031412,-94.16908
11014201,47.031412,-94.16908
11014202,47.031412,-94.16908
11014203,47.031412,-94.16908
11014204,47.031412,-94.16908
11014300,47.092745,-94.160181
11014600,47.309353,-94.124562
11014700,47.436533,-94.055766
11016700,46.924764,-94.200309
11017100,46.897395,-94.251643
